SIF121116;Manajemen Proses Bisnis;3;4
SIF121117;Mobile and Web Programming;4;4
SIF121118;Artificial Intelligent;3;4
SIF121119;Visualisasi Data;3;4
SIF121120;e-Business;3;4
SIF121121;Tata Kelola dan Audit TI;4;4
